sample_id,subject,session,bas,run,task,emotion,coarse_affect,modality,beta_index,beta_file,beta_path,mask_path,regressor_label,raw_label,subject_session,subject_session_bas,beta_file_sha256,mask_file_sha256,coarse_affect_mapping_version,coarse_affect_mapping_sha256,binary_valence_mapping_version,binary_valence_mapping_sha256,glm_has_unknown_regressors,glm_unknown_regressor_count,glm_unknown_regressor_labels_json,beta_path_canonical,mask_path_canonical
sub-001_ses-01_BAS2_run-1_beta-1,sub-001,ses-01,BAS2,1,passive,anger,negative,audio,1,beta_0001.nii,sub-001/ses-01/BAS2/beta_0001.nii,sub-001/ses-01/BAS2/mask.nii,run-1_passive_anger_audio,run-1_passive_anger_audio,sub-001_ses-01,sub-001_ses-01_BAS2,30380a399b6a6ffdade9c98a4c523925ed3271eeb386f56ee30e2fbc71db8f42,42cea30c9edb3f977465c0b384372bb5b140b668a9acf7758ac86279fbadc297,affect_mapping_v2,3bbc30d6949e868f8d9d2ad64b7b10d1d14c93fff3d406d3321d76efee011ad3,binary_valence_mapping_v1,2c3396c3b25f733d27c248015b23f0e16fa589a81fc2fa0cc2899efdf1b235fd,False,0,[],D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-01\BAS2\beta_0001.nii,D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-01\BAS2\mask.nii
sub-001_ses-01_BAS2_run-1_beta-2,sub-001,ses-01,BAS2,1,passive,happiness,positive,audio,2,beta_0002.nii,sub-001/ses-01/BAS2/beta_0002.nii,sub-001/ses-01/BAS2/mask.nii,run-1_passive_happiness_audio,run-1_passive_happiness_audio,sub-001_ses-01,sub-001_ses-01_BAS2,21e36c1ac1cbaa7dee0da3dfb5e00ebcbd29757998218f6d3a949dddc46dffef,42cea30c9edb3f977465c0b384372bb5b140b668a9acf7758ac86279fbadc297,affect_mapping_v2,3bbc30d6949e868f8d9d2ad64b7b10d1d14c93fff3d406d3321d76efee011ad3,binary_valence_mapping_v1,2c3396c3b25f733d27c248015b23f0e16fa589a81fc2fa0cc2899efdf1b235fd,False,0,[],D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-01\BAS2\beta_0002.nii,D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-01\BAS2\mask.nii
sub-001_ses-01_BAS2_run-1_beta-3,sub-001,ses-01,BAS2,1,passive,anger,negative,video,3,beta_0003.nii,sub-001/ses-01/BAS2/beta_0003.nii,sub-001/ses-01/BAS2/mask.nii,run-1_passive_anger_video,run-1_passive_anger_video,sub-001_ses-01,sub-001_ses-01_BAS2,a4fb9a538f205cb72fdbe1a628f5772a026b6f43ea4df5981629ee8964d063e8,42cea30c9edb3f977465c0b384372bb5b140b668a9acf7758ac86279fbadc297,affect_mapping_v2,3bbc30d6949e868f8d9d2ad64b7b10d1d14c93fff3d406d3321d76efee011ad3,binary_valence_mapping_v1,2c3396c3b25f733d27c248015b23f0e16fa589a81fc2fa0cc2899efdf1b235fd,False,0,[],D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-01\BAS2\beta_0003.nii,D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-01\BAS2\mask.nii
sub-001_ses-01_BAS2_run-1_beta-4,sub-001,ses-01,BAS2,1,passive,happiness,positive,video,4,beta_0004.nii,sub-001/ses-01/BAS2/beta_0004.nii,sub-001/ses-01/BAS2/mask.nii,run-1_passive_happiness_video,run-1_passive_happiness_video,sub-001_ses-01,sub-001_ses-01_BAS2,47e52b698511527fb19043e89cec1ba65c303c8d8e3926e01f4fa62b991c7c08,42cea30c9edb3f977465c0b384372bb5b140b668a9acf7758ac86279fbadc297,affect_mapping_v2,3bbc30d6949e868f8d9d2ad64b7b10d1d14c93fff3d406d3321d76efee011ad3,binary_valence_mapping_v1,2c3396c3b25f733d27c248015b23f0e16fa589a81fc2fa0cc2899efdf1b235fd,False,0,[],D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-01\BAS2\beta_0004.nii,D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-01\BAS2\mask.nii
sub-001_ses-02_BAS2_run-1_beta-1,sub-001,ses-02,BAS2,1,passive,anger,negative,audio,1,beta_0001.nii,sub-001/ses-02/BAS2/beta_0001.nii,sub-001/ses-02/BAS2/mask.nii,run-1_passive_anger_audio,run-1_passive_anger_audio,sub-001_ses-02,sub-001_ses-02_BAS2,37ee691d617c6d9c8719fcb989e532baef43bcb6238f2c352e3d7c4d5ae73326,42cea30c9edb3f977465c0b384372bb5b140b668a9acf7758ac86279fbadc297,affect_mapping_v2,3bbc30d6949e868f8d9d2ad64b7b10d1d14c93fff3d406d3321d76efee011ad3,binary_valence_mapping_v1,2c3396c3b25f733d27c248015b23f0e16fa589a81fc2fa0cc2899efdf1b235fd,False,0,[],D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-02\BAS2\beta_0001.nii,D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-02\BAS2\mask.nii
sub-001_ses-02_BAS2_run-1_beta-2,sub-001,ses-02,BAS2,1,passive,happiness,positive,audio,2,beta_0002.nii,sub-001/ses-02/BAS2/beta_0002.nii,sub-001/ses-02/BAS2/mask.nii,run-1_passive_happiness_audio,run-1_passive_happiness_audio,sub-001_ses-02,sub-001_ses-02_BAS2,768c0a05a36d3890cee2a542cd6d88e994f3100dfc57a4c0a0a4f0481d41ce33,42cea30c9edb3f977465c0b384372bb5b140b668a9acf7758ac86279fbadc297,affect_mapping_v2,3bbc30d6949e868f8d9d2ad64b7b10d1d14c93fff3d406d3321d76efee011ad3,binary_valence_mapping_v1,2c3396c3b25f733d27c248015b23f0e16fa589a81fc2fa0cc2899efdf1b235fd,False,0,[],D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-02\BAS2\beta_0002.nii,D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-02\BAS2\mask.nii
sub-001_ses-02_BAS2_run-1_beta-3,sub-001,ses-02,BAS2,1,passive,anger,negative,video,3,beta_0003.nii,sub-001/ses-02/BAS2/beta_0003.nii,sub-001/ses-02/BAS2/mask.nii,run-1_passive_anger_video,run-1_passive_anger_video,sub-001_ses-02,sub-001_ses-02_BAS2,67641e5e916dfcf227a6618d0e293cd4ef2ee0373ccf6a41a315556fabda6a01,42cea30c9edb3f977465c0b384372bb5b140b668a9acf7758ac86279fbadc297,affect_mapping_v2,3bbc30d6949e868f8d9d2ad64b7b10d1d14c93fff3d406d3321d76efee011ad3,binary_valence_mapping_v1,2c3396c3b25f733d27c248015b23f0e16fa589a81fc2fa0cc2899efdf1b235fd,False,0,[],D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-02\BAS2\beta_0003.nii,D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-02\BAS2\mask.nii
sub-001_ses-02_BAS2_run-1_beta-4,sub-001,ses-02,BAS2,1,passive,happiness,positive,video,4,beta_0004.nii,sub-001/ses-02/BAS2/beta_0004.nii,sub-001/ses-02/BAS2/mask.nii,run-1_passive_happiness_video,run-1_passive_happiness_video,sub-001_ses-02,sub-001_ses-02_BAS2,65f5b10f94743600344e64042f1809cf0cbdd6abda18d4cb813f0a9c712bd13d,42cea30c9edb3f977465c0b384372bb5b140b668a9acf7758ac86279fbadc297,affect_mapping_v2,3bbc30d6949e868f8d9d2ad64b7b10d1d14c93fff3d406d3321d76efee011ad3,binary_valence_mapping_v1,2c3396c3b25f733d27c248015b23f0e16fa589a81fc2fa0cc2899efdf1b235fd,False,0,[],D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-02\BAS2\beta_0004.nii,D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-001\ses-02\BAS2\mask.nii
sub-002_ses-01_BAS2_run-1_beta-1,sub-002,ses-01,BAS2,1,passive,anger,negative,audio,1,beta_0001.nii,sub-002/ses-01/BAS2/beta_0001.nii,sub-002/ses-01/BAS2/mask.nii,run-1_passive_anger_audio,run-1_passive_anger_audio,sub-002_ses-01,sub-002_ses-01_BAS2,944965067f0e3f7290d57eefc965c14166da624eb43a554f39b4bb4e2669c7ba,42cea30c9edb3f977465c0b384372bb5b140b668a9acf7758ac86279fbadc297,affect_mapping_v2,3bbc30d6949e868f8d9d2ad64b7b10d1d14c93fff3d406d3321d76efee011ad3,binary_valence_mapping_v1,2c3396c3b25f733d27c248015b23f0e16fa589a81fc2fa0cc2899efdf1b235fd,False,0,[],D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-002\ses-01\BAS2\beta_0001.nii,D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-002\ses-01\BAS2\mask.nii
sub-002_ses-01_BAS2_run-1_beta-2,sub-002,ses-01,BAS2,1,passive,happiness,positive,audio,2,beta_0002.nii,sub-002/ses-01/BAS2/beta_0002.nii,sub-002/ses-01/BAS2/mask.nii,run-1_passive_happiness_audio,run-1_passive_happiness_audio,sub-002_ses-01,sub-002_ses-01_BAS2,2f47667fb0cf2e602161a71d8049f060a600ce264871a9fa722f695a904aed17,42cea30c9edb3f977465c0b384372bb5b140b668a9acf7758ac86279fbadc297,affect_mapping_v2,3bbc30d6949e868f8d9d2ad64b7b10d1d14c93fff3d406d3321d76efee011ad3,binary_valence_mapping_v1,2c3396c3b25f733d27c248015b23f0e16fa589a81fc2fa0cc2899efdf1b235fd,False,0,[],D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-002\ses-01\BAS2\beta_0002.nii,D:\Khaled\Projects\VScode\Thesis\demo_data\synthetic_v1\data_root\sub-002\ses-01\BAS2\mask.nii
